,tickers
0,CGPOWER.csv
1,PSUBNKBEES.csv
2,ESTER.csv
3,BFINVEST.csv
4,SBILIFE.csv
5,ABBOTINDIA.csv
6,INDUSTOWER.csv
7,AYMSYNTEX.csv
8,CPSEETF.csv
9,SBIETFQLTY.csv
10,SPANDANA.csv
11,NETF.csv
12,SCI.csv
13,MARATHON.csv
14,MAHINDCIE.csv
15,INDIAMART.csv
16,ALLCARGO.csv
17,ADFFOODS.csv
18,BLKASHYAP.csv
19,SINTERCOM.csv
20,PNBGILTS.csv
21,DHANBANK.csv
22,DYNAMATECH.csv
23,GPIL.csv
24,NILKAMAL.csv
25,TATAMOTORS.csv
26,BANKA.csv
27,HAVELLS.csv
28,LUXIND.csv
29,ROSSELLIND.csv
30,SOUTHBANK.csv
31,PGIL.csv
32,ELECON.csv
33,ESCORTS.csv
34,CAPTRUST.csv
35,NUCLEUS.csv
36,INDLMETER.csv
37,SUMMITSEC.csv
38,PLASTIBLEN.csv
39,KHADIM.csv
40,ICIL.csv
41,GESHIP.csv
42,HEG.csv
43,GENUSPOWER.csv
44,SBIETFPB.csv
45,ONMOBILE.csv
46,RAYMOND.csv
47,UNIONBANK.csv
48,HONAUT.csv
49,OIL.csv
50,SHREERAMA.csv
51,OAL.csv
52,KSB.csv
53,DHAMPURSUG.csv
54,MOLDTECH.csv
55,NHPC.csv
56,WILLAMAGOR.csv
57,TVSELECT.csv
58,SALASAR.csv
59,PNC.csv
60,ASTRAMICRO.csv
61,FINEORG.csv
62,SOBHA.csv
63,SEYAIND.csv
64,TATAELXSI.csv
65,RAMASTEEL.csv
66,NOVARTIND.csv
67,DHUNINV.csv
68,LICNETFSEN.csv
69,MUKANDLTD.csv
70,ANDHRSUGAR.csv
71,HMVL.csv
72,IRFC.csv
73,INOXLEISUR.csv
74,CALSOFT.csv
75,HOVS.csv
76,AARTISURF.csv
77,DCAL.csv
78,IFBAGRO.csv
79,SUNTECK.csv
80,HERITGFOOD.csv
81,POLYCAB.csv
82,HITECHGEAR.csv
83,DAAWAT.csv
84,GALAXYSURF.csv
85,TCPLPACK.csv
86,VARDHACRLC.csv
87,RPPINFRA.csv
88,STARCEMENT.csv
89,AVADHSUGAR.csv
90,APARINDS.csv
91,KITEX.csv
92,TATAMETALI.csv
93,CASTROLIND.csv
94,APOLSINHOT.csv
95,JSWSTEEL.csv
96,NCC.csv
97,AKSHARCHEM.csv
98,BLUECHIP.csv
99,TIINDIA.csv
100,CARERATING.csv
101,EROSMEDIA.csv
102,MAXVIL.csv
103,MANGALAM.csv
104,GOKEX.csv
105,INDOTECH.csv
106,TEXRAIL.csv
107,IVZINNIFTY.csv
108,ICICIGOLD.csv
109,SALSTEEL.csv
110,BANARBEADS.csv
111,GICRE.csv
112,OFSS.csv
113,RALLIS.csv
114,SHANKARA.csv
115,PRINCEPIPE.csv
116,VARROC.csv
117,MANALIPETC.csv
118,CCCL.csv
119,PENINLAND.csv
120,TIPSINDLTD.csv
121,SPMLINFRA.csv
122,ICICIB22.csv
123,INDBANK.csv
124,RML.csv
125,SOLARA.csv
126,GREENPOWER.csv
127,ASAHIINDIA.csv
128,CAMLINFINE.csv
129,DTIL.csv
130,PNCINFRA.csv
131,NPBET.csv
132,IDFCFIRSTB.csv
133,KUANTUM.csv
134,NEXTMEDIA.csv
135,RIIL.csv
136,JMA.csv
137,PURVA.csv
138,DEN.csv
139,MBLINFRA.csv
140,FSC.csv
141,PCJEWELLER.csv
142,VINATIORGA.csv
143,GILLETTE.csv
144,SHRENIK.csv
145,PODDARMENT.csv
146,GUJALKALI.csv
147,ABCAPITAL.csv
148,SASKEN.csv
149,SMSLIFE.csv
150,CANFINHOME.csv
151,ORIENTALTL.csv
152,LOKESHMACH.csv
153,SAKAR.csv
154,SBIN.csv
155,SPENCERS.csv
156,RKFORGE.csv
157,NELCAST.csv
158,IRB.csv
159,IFCI.csv
160,BHANDARI.csv
161,MOLDTKPAC.csv
162,PSPPROJECT.csv
163,VETO.csv
164,ORBTEXP.csv
165,EMKAY.csv
166,COROMANDEL.csv
167,RANEHOLDIN.csv
168,MAHEPC.csv
169,GAYAHWS.csv
170,CORALFINAC.csv
171,INTENTECH.csv
172,SIMBHALS.csv
173,SUBROS.csv
174,SHOPERSTOP.csv
175,NIRAJ.csv
176,RNAVAL.csv
177,OPTIEMUS.csv
178,VISHWARAJ.csv
179,ARCHIDPLY.csv
180,MANXT50.csv
181,GOLDTECH.csv
182,ALBERTDAVD.csv
183,VEDL.csv
184,AKASH.csv
185,IL&FSTRANS.csv
186,HSCL.csv
187,AXISBANK.csv
188,EIHOTEL.csv
189,FOSECOIND.csv
190,SKIPPER.csv
191,WATERBASE.csv
192,ITI.csv
193,TWL.csv
194,CUBEXTUB.csv
195,JAGRAN.csv
196,INFOBEAN.csv
197,GABRIEL.csv
198,ARIHANTSUP.csv
199,BIGBLOC.csv
200,VGUARD.csv
201,LAMBODHARA.csv
202,GREAVESCOT.csv
203,GUJAPOLLO.csv
204,VISHAL.csv
205,TORNTPHARM.csv
206,SUPREMEENG.csv
207,RMCL.csv
208,ALPHAGEO.csv
209,SREINFRA.csv
210,SNOWMAN.csv
211,AUBANK.csv
212,BALPHARMA.csv
213,GILLANDERS.csv
214,ADANIPOWER.csv
215,ZODIACLOTH.csv
216,ORISSAMINE.csv
217,KAKATCEM.csv
218,SHRADHA.csv
219,MUTHOOTFIN.csv
220,ARTEMISMED.csv
221,HAPPSTMNDS.csv
222,MANAKSTEEL.csv
223,BRFL.csv
224,SPTL.csv
225,POWERINDIA.csv
226,RCF.csv
227,PRESTIGE.csv
228,WONDERLA.csv
229,JOCIL.csv
230,EVEREADY.csv
231,LGBFORGE.csv
232,GODREJAGRO.csv
233,ESSARSHPNG.csv
234,GEEKAYWIRE.csv
235,KIRIINDUS.csv
236,LIQUIDBEES.csv
237,RUCHIRA.csv
238,CIPLA.csv
239,LOVABLE.csv
240,NAM-INDIA.csv
241,FLUOROCHEM.csv
242,BBL.csv
243,THEINVEST.csv
244,SARDAEN.csv
245,AMBIKCO.csv
246,IRCON.csv
247,AKSHOPTFBR.csv
248,BANCOINDIA.csv
249,VISASTEEL.csv
250,MARALOVER.csv
251,PRAJIND.csv
252,SUPERSPIN.csv
253,ULTRACEMCO.csv
254,AHLEAST.csv
255,GKWLIMITED.csv
256,CYBERTECH.csv
257,DRREDDY.csv
258,GTLINFRA.csv
259,ZEEL.csv
260,SANWARIA.csv
261,MEGASOFT.csv
262,ZOTA.csv
263,NOIDATOLL.csv
264,SHAREINDIA.csv
265,UJJIVANSFB.csv
266,CCL.csv
267,ARMANFIN.csv
268,TIMESGTY.csv
269,WHIRLPOOL.csv
270,TIL.csv
271,SHREYAS.csv
272,TREEHOUSE.csv
273,ANUP.csv
274,RELIANCE.csv
275,GODREJIND.csv
276,VAKRANGEE.csv
277,BHEL.csv
278,MFSL.csv
279,NETWORK18.csv
280,AAKASH.csv
281,SOMANYCERA.csv
282,KERNEX.csv
283,BLS.csv
284,ICICIBANK.csv
285,PARACABLES.csv
286,INDOTHAI.csv
287,NIFTYBEES.csv
288,LGBBROSLTD.csv
289,JAYAGROGN.csv
290,AJMERA.csv
291,SHARIABEES.csv
292,PANAMAPET.csv
293,TITAN.csv
294,MGL.csv
295,HNDFDS.csv
296,MOHOTAIND.csv
297,SPICEJET.csv
298,ARVIND.csv
299,GLOBE.csv
300,HCG.csv
301,TVTODAY.csv
302,GOENKA.csv
303,GANGESSECU.csv
304,ATLANTA.csv
305,INFOMEDIA.csv
306,THERMAX.csv
307,TCIEXP.csv
308,ICICISENSX.csv
309,RAMKY.csv
310,DONEAR.csv
311,TRIL.csv
312,DISHTV.csv
313,REPRO.csv
314,INDRAMEDCO.csv
315,AARTIIND.csv
316,URJA.csv
317,MANUGRAPH.csv
318,SANGAMIND.csv
319,ANDHRAPAP.csv
320,NDGL.csv
321,KOTAKGOLD.csv
322,ARSSINFRA.csv
323,SHALBY.csv
324,FSL.csv
325,TTML.csv
326,HINDPETRO.csv
327,KIRLFER.csv
328,J&KBANK.csv
329,KHAICHEM.csv
330,KANPRPLA.csv
331,KOTARISUG.csv
332,CROMPTON.csv
333,JSWISPL.csv
334,SANDESH.csv
335,MTNL.csv
336,IGPL.csv
337,BSOFT.csv
338,CONFIPET.csv
339,ECLERX.csv
340,DALBHARAT.csv
341,KALPATPOWR.csv
342,DGCONTENT.csv
343,RSWM.csv
344,PREMEXPLN.csv
345,SANGINITA.csv
346,SUNFLAG.csv
347,JINDRILL.csv
348,HILTON.csv
349,IDFNIFTYET.csv
350,WEALTH.csv
351,SETF10GILT.csv
352,CENTRUM.csv
353,SHILPAMED.csv
354,GUJRAFFIA.csv
355,DCMNVL.csv
356,LIBAS.csv
357,MMP.csv
